muestras,Bacteria,rep1,rep2,rep3
AN,ecoli,0.9082026172983831,0.6400078604183612,0.558936899205287
BN,ecoli,1.0820446599600728,0.9933778995074984,0.7411361060061795
CN,ecoli,0.9975044208762794,0.8524321395851151,1.194839057410322
DN,ecoli,0.7605299250969186,0.797202178558044,0.8927136753481487
EN,ecoli,0.6380518862573497,0.6860837508246415,0.9021931616372713
FN,ecoli,0.6166837163687133,0.7247039536578803,0.77974208681171
GN,ecoli,0.5156533850825451,0.5972952130349137,0.462350509208296
HN,ecoli,0.5126809297720181,0.6432218099429753,0.6028917489796779
AN,aureus,0.9734877311993804,0.7472817162700617,
BN,aureus,1.1706408074987082,1.136638960717923,1.2834679384950143
CN,aureus,1.0477473712848457,1.0589081259801087,1.1756107126184943
DN,aureus,0.8709601765888036,1.0126043925336925,1.1678174484551989
EN,aureus,0.9915145340363861,1.1401189924392205,1.2206336591296023
FN,aureus,,0.9275723517466453,1.1789991031410512
GN,aureus,0.8546864904687493,1.0675387697615895,1.1745173909124174
HN,aureus,0.7780962849194407,0.8073602319975037,0.8488745177915955
AE,ecoli,1.2593051076221025,1.2493629859893016,1.2252266719403162
BE,ecoli,1.359345124892963,1.1644597431215562,1.2109683907938793
CE,ecoli,1.3285908885830673,1.1714165935265208,1.2033258611191584
DE,ecoli,1.145123594886989,0.8582838953159518,0.9218629417006431
EE,ecoli,0.8863769776112025,0.8220223419229729,0.7993426858977772
FE,ecoli,0.8036858698834162,0.8388713071126876,0.7699109531895869
GE,ecoli,0.7684900826516977,0.8231391127762887,0.7446350817808379
HE,ecoli,0.8825972697898069,0.8764545281088768,0.8964491455378706
AE,aureus,0.8269700342271651,0.6382587089823173,
BE,aureus,0.9057594954529843,0.8064601425409059,0.6710575167617792
CE,aureus,0.9944223733936314,1.0428082671114873,0.6017425079608322
DE,aureus,0.8850413243477093,0.953283121986523,0.2531878156861388
EE,aureus,0.92441260968978,0.8247944588015291,0.7589389785579825
FE,aureus,0.8410037582093824,0.6864623689244729,0.8227225863465568
GE,aureus,0.789841152651341,0.8211222535191214,0.860413748903843
HE,aureus,0.7388319518241856,0.60781831985872,0.7353286584095974
